,solar cost $/MW,battery cost $/MWh,load cost $/MW,arraysize (MW),battery size (MWh),load size (1 MW by definition),array cost $,battery cost $,load cost $ (all normalized to 1 MW),total power system cost $,total system cost $,total system cost per utilization,battery size relative to 1 MW array,load size relative to 1 MW array,annual battery utilization,annual load utilization
0,200000,200000,10000.0,1.3589999999999989,0.0,1.0,271799.99999999977,0.0,10000.0,271799.99999999977,281799.99999999977,970603.2255209404,0.0,0.7358351729212662,0.0,0.29033490986881133
1,200000,200000,12589.254117941673,1.3689999999999989,0.0,1.0,273799.99999999977,0.0,12589.254117941673,273799.99999999977,286389.2541179414,979490.1633682341,0.0,0.73046018991965,0.0,0.29238604411617247
2,200000,200000,15848.931924611135,1.3809999999999987,0.0,1.0,276199.9999999997,0.0,15848.931924611135,276199.9999999997,292048.93192461086,990593.1182393874,0.0,0.7241129616220138,0.0,0.2948222903503294
3,200000,200000,19952.623149688796,1.3969999999999991,0.0,1.0,279399.9999999998,0.0,19952.623149688796,279399.9999999998,299352.62314968865,1004436.4532297604,0.0,0.7158196134574092,0.0,0.2980304251076529
4,200000,200000,25118.8643150958,1.4119999999999986,0.0,1.0,282399.9999999997,0.0,25118.8643150958,282399.9999999997,307518.86431509553,1021683.122380859,0.0,0.7082152974504257,0.0,0.3009924090734464
5,200000,200000,31622.776601683796,1.428999999999999,0.0,1.0,285799.99999999977,0.0,31622.776601683796,285799.99999999977,317422.7766016836,1043168.3436507436,0.0,0.6997900629811062,0.0,0.304287202093201
6,200000,200000,39810.717055349734,1.4469999999999992,0.0,1.0,289399.9999999998,0.0,39810.717055349734,289399.9999999998,329210.71705534955,1069927.3497021508,0.0,0.6910850034554255,0.0,0.3076944590181718
7,200000,200000,50118.723362727236,1.4639999999999982,0.0,1.0,292799.99999999965,0.0,50118.723362727236,292799.99999999965,342918.72336272686,1103245.4282530383,0.0,0.6830601092896184,0.0,0.3108272326183396
8,200000,200000,63095.734448019335,1.4819999999999984,0.0,1.0,296399.9999999997,0.0,63095.734448019335,296399.9999999997,359495.73444801907,1144773.7314096352,0.0,0.6747638326585702,0.0,0.3140321310529621
9,200000,200000,79432.82347242816,1.503999999999998,0.0,1.0,300799.9999999996,0.0,79432.82347242816,300799.9999999996,380232.8234724278,1196466.0773207555,0.0,0.6648936170212775,0.0,0.3177965766684188
10,200000,200000,100000.0,1.524999999999999,0.0,1.0,304999.9999999998,0.0,100000.0,304999.9999999998,404999.9999999998,1260807.767085277,0.0,0.6557377049180332,0.0,0.32122264041589366
11,200000,200000,125892.54117941674,1.5489999999999984,0.0,1.0,309799.99999999965,0.0,125892.54117941674,309799.99999999965,435692.5411794164,1340939.1843495169,0.0,0.6455777921239516,0.0,0.32491595910128374
12,200000,200000,158489.3192461114,1.5799999999999983,0.0,1.0,315999.99999999965,0.0,158489.3192461114,315999.99999999965,474489.3192461111,1440549.6133692786,0.0,0.632911392405064,0.0,0.32938075498582486
13,200000,200000,199526.23149688798,1.6179999999999986,0.0,1.0,323599.9999999997,0.0,199526.23149688798,323599.9999999997,523126.2314968877,1564160.2185789063,0.0,0.6180469715698399,0.0,0.33444542655110227
14,200000,200000,251188.6431509581,1.6659999999999988,0.0,1.0,333199.99999999977,0.0,251188.6431509581,333199.99999999977,584388.6431509579,1717261.2974374627,0.0,0.6002400960384158,0.0,0.3403026924458125
15,200000,200000,316227.7660168379,1.7189999999999985,0.0,1.0,343799.9999999997,0.0,316227.7660168379,343799.9999999997,660027.7660168377,1906716.2643669904,0.0,0.5817335660267603,0.0,0.34615940418170177
16,200000,200000,398107.17055349733,1.784999999999999,0.0,1.0,356999.9999999998,0.0,398107.17055349733,356999.9999999998,755107.1705534972,2141053.5810333556,0.0,0.5602240896358547,0.0,0.3526801838322295
17,200000,200000,501187.23362727254,1.8609999999999982,0.0,1.0,372199.99999999965,0.0,501187.23362727254,372199.99999999965,873387.2336272722,2430508.559957415,0.0,0.5373455131649656,0.0,0.35934340985928265
